sample,risk_pct,start,end_exclusive,accepted_trades,return_pct,cagr_pct,closed_dd_pct,final_equity_usd,cost_bps
full_2024_to_july2026,1.0,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,33016,-100.0,-99.99999999837347,100.0,1.9651540528138877e-24,20.0
full_2024_to_july2026,2.0,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,33001,-100.0,-100.0,100.0,1.2533036467327455e-53,20.0
full_2024_to_july2026,3.0,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,32405,-100.0,-100.0,100.0,2.6286913881603267e-78,20.0
full_2024_to_july2026,5.0,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,29441,-100.0,-100.0,100.0,2.2352770756579036e-103,20.0
full_2024_to_july2026,7.5,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,26182,-100.0,-100.0,100.0,2.942225650446544e-119,20.0
full_2024_to_july2026,10.0,2024-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,24471,-100.0,-100.0,100.0,2.0659914673351658e-126,20.0
test_2025H2_to_july2026,1.0,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,13558,-99.99999999999109,-99.99999999993547,99.99999999999145,8.919761382719759e-10,20.0
test_2025H2_to_july2026,2.0,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,13545,-100.0,-100.0,100.0,2.630762558802551e-23,20.0
test_2025H2_to_july2026,3.0,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,13180,-100.0,-100.0,100.0,1.1813433414316523e-33,20.0
test_2025H2_to_july2026,5.0,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,11721,-100.0,-100.0,100.0,1.1214128247633178e-42,20.0
test_2025H2_to_july2026,7.5,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,10323,-100.0,-100.0,100.0,5.056248156553895e-48,20.0
test_2025H2_to_july2026,10.0,2025-07-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,9786,-100.0,-100.0,100.0,1.8229941632176994e-50,20.0
fresh_2026H1_to_july,1.0,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,7437,-99.99999764119015,-99.99999999999652,99.9999977663595,0.00023588098517196294,20.0
fresh_2026H1_to_july,2.0,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,7425,-99.99999999999996,-100.0,99.99999999999997,4.081891119201483e-12,20.0
fresh_2026H1_to_july,3.0,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,7192,-100.0,-100.0,100.0,6.145229180582974e-18,20.0
fresh_2026H1_to_july,5.0,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,6389,-100.0,-100.0,100.0,5.829180332631267e-23,20.0
fresh_2026H1_to_july,7.5,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,5627,-100.0,-100.0,100.0,2.0759475565704796e-26,20.0
fresh_2026H1_to_july,10.0,2026-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,5346,-100.0,-100.0,100.0,6.117178858002546e-28,20.0
