config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0_H4_S1.5_T0,2024,BRK_L16_V0_H4_S1.5_T0,16,0.0,4,1.5,,22286,-15.460770111321338,0.7378048783104161,0.3830207305034551,-344558.7227009073,30,0.0,22286,-23.46077011132134,0.6335500229635446,0.35331598312842144,-522846.7227009074,30,0.0
BRK_L16_V0_H4_S1.5_T0,2025H1,BRK_L16_V0_H4_S1.5_T0,16,0.0,4,1.5,,11474,-15.490382468536604,0.7208570366364738,0.39768171518215095,-177736.648443989,30,0.0,11474,-23.490382468536605,0.6113745775163499,0.36421474638312706,-269528.648443989,30,0.0
BRK_L16_V0_H4_S1.5_T0,2025H2,BRK_L16_V0_H4_S1.5_T0,16,0.0,4,1.5,,11763,-11.038325401433253,0.7701737672670507,0.394117146986313,-129843.82169705935,30,0.03333333333333333,11763,-19.03832540143325,0.6408120669534274,0.3624075490946187,-223947.82169705935,30,0.0
BRK_L16_V0_H4_S1.5_T0,2026H1,BRK_L16_V0_H4_S1.5_T0,16,0.0,4,1.5,,11336,-17.773296198673556,0.6238523394503311,0.36370853916725476,-201478.08570816342,30,0.0,11336,-25.773296198673556,0.5089622814914947,0.32701129146083274,-292166.08570816345,30,0.0
BRK_L16_V0_H4_S1.5_T0,JULY2026,BRK_L16_V0_H4_S1.5_T0,16,0.0,4,1.5,,1373,-21.166887427201093,0.459672956642004,0.3211944646758922,-29062.136437547102,29,0.034482758620689655,1373,-29.166887427201093,0.34944263037881296,0.2658412235979607,-40046.1364375471,29,0.0
BRK_L16_V0_H4_S1.5_T3,2024,BRK_L16_V0_H4_S1.5_T3,16,0.0,4,1.5,3.0,22402,-14.562015068524456,0.7539677652503776,0.3834925453084546,-326218.26156508486,30,0.0,22402,-22.562015068524456,0.6487759694114706,0.353986251227569,-505434.26156508486,30,0.0
BRK_L16_V0_H4_S1.5_T3,2025H1,BRK_L16_V0_H4_S1.5_T3,16,0.0,4,1.5,3.0,11516,-14.664893491237422,0.7354452155825874,0.3987495658214658,-168880.91344509015,30,0.0,11516,-22.664893491237425,0.6246047095308559,0.36523098298020146,-261008.91344509018,30,0.0
BRK_L16_V0_H4_S1.5_T3,2025H2,BRK_L16_V0_H4_S1.5_T3,16,0.0,4,1.5,3.0,11833,-15.627561302819538,0.6931930134211614,0.3935603819825911,-184920.9328962636,30,0.0,11833,-23.627561302819544,0.5774332699576432,0.36212287670075216,-279584.93289626366,30,0.0
BRK_L16_V0_H4_S1.5_T3,2026H1,BRK_L16_V0_H4_S1.5_T3,16,0.0,4,1.5,3.0,11391,-17.50813105090066,0.6302810181339294,0.3637081906768501,-199435.1208008094,30,0.0,11391,-25.508131050900666,0.5149514485670644,0.327539285400755,-290563.12080080947,30,0.0
BRK_L16_V0_H4_S1.5_T3,JULY2026,BRK_L16_V0_H4_S1.5_T3,16,0.0,4,1.5,3.0,1378,-21.151145409867517,0.46182094274005364,0.3200290275761974,-29146.27837479744,29,0.0,1378,-29.151145409867517,0.3517542975265837,0.2648766328011611,-40170.27837479744,29,0.0
