symbol,rows,first,last,funding_events
SOLUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
XRPUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
DOGEUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
BNBUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
SUIUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
ADAUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
LINKUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
AVAXUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
LTCUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
BCHUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
AAVEUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
OPUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
ETCUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
INJUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
TIAUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,5915
NEARUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
ONDOUSDT,88172,2024-01-20 13:00:00+00:00,2026-07-26 23:45:00+00:00,5431
PENDLEUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
TAOUSDT,80294,2024-04-11 14:30:00+00:00,2026-07-26 23:45:00+00:00,4939
APTUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
ENAUSDT,81166,2024-04-02 12:30:00+00:00,2026-07-26 23:45:00+00:00,4993
FETUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
RENDERUSDT,70136,2024-07-26 10:00:00+00:00,2026-07-26 23:45:00+00:00,4304
TONUSDT,84238,2024-03-01 12:30:00+00:00,2026-07-26 23:45:00+00:00,5142
HBARUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
XLMUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
JUPUSDT,87094,2024-01-31 18:30:00+00:00,2026-07-26 23:45:00+00:00,5362
WIFUSDT,88359,2024-01-18 14:15:00+00:00,2026-07-26 23:45:00+00:00,5443
ZECUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
ALGOUSDT,95904,2023-11-01 00:00:00+00:00,2026-07-26 23:45:00+00:00,2997
