config,eligible,score,avg20_2024,pf20_2024,trades_2024,breadth_2024,avg20_2025H1,pf20_2025H1,trades_2025H1,breadth_2025H1
BRK_L16_V0_H4_S1.5_T0,False,-1000000000.0,-23.46077011132134,0.6335500229635446,22286,0.0,-23.490382468536605,0.6113745775163499,11474,0.0
BRK_L16_V0_H4_S1.5_T3,False,-1000000000.0,-22.562015068524456,0.6487759694114706,22402,0.0,-22.664893491237425,0.6246047095308559,11516,0.0
BRK_L16_V0_H4_S2_T0,False,-1000000000.0,-23.400488825039208,0.6406772034946209,22094,0.0,-24.757557758945246,0.6005704532744299,11394,0.0
BRK_L16_V0_H4_S2_T3,False,-1000000000.0,-23.22863060378903,0.6442168605879902,22138,0.0,-24.304075722468,0.6078600376581593,11401,0.0
BRK_L16_V0_H8_S1.5_T0,False,-1000000000.0,-25.400659200315946,0.6762974141059801,16582,0.0,-22.715125190010795,0.6975081413944829,8392,0.0
BRK_L16_V0_H8_S1.5_T3,False,-1000000000.0,-24.362109027473675,0.6914126564706561,16803,0.0,-21.59923537215221,0.7124216387271266,8480,0.03333333333333333
BRK_L16_V0_H8_S2_T0,False,-1000000000.0,-25.734189666775638,0.6852057032393265,16283,0.0,-24.18834521861057,0.6968551079132238,8268,0.0
BRK_L16_V0_H8_S2_T3,False,-1000000000.0,-25.29595793312994,0.6921094862191831,16380,0.0,-22.831792540834535,0.7144951235261865,8298,0.03333333333333333
BRK_L16_V0_H16_S1.5_T0,False,-1000000000.0,-21.33470493074345,0.7560210614390811,8849,0.045454545454545456,-25.546021298244018,0.6982448290723591,4331,0.0
BRK_L16_V0_H16_S1.5_T3,False,-1000000000.0,-24.766994403564684,0.7206757824926199,9102,0.045454545454545456,-21.06166906808319,0.7499421772988905,4411,0.045454545454545456
BRK_L16_V0_H16_S2_T0,False,-1000000000.0,-22.33827119566839,0.765804859123066,8591,0.045454545454545456,-26.31086366594263,0.712815304252402,4227,0.0
BRK_L16_V0_H16_S2_T3,False,-1000000000.0,-24.698942501561504,0.7447051923835863,8733,0.045454545454545456,-22.581749348115835,0.7548648148536407,4263,0.045454545454545456
BRK_L16_V0.75_H4_S1.5_T0,False,-1000000000.0,-24.532890057982208,0.6535082507519695,15582,0.0,-24.934481170213257,0.6248446929603092,7819,0.0
BRK_L16_V0.75_H4_S1.5_T3,False,-1000000000.0,-23.370686537570762,0.6710737872692447,15675,0.0,-24.120114381025825,0.6366986567980822,7853,0.0
BRK_L16_V0.75_H4_S2_T0,False,-1000000000.0,-24.236953964803064,0.6649224623227357,15436,0.0,-26.92066967291999,0.6078632220098756,7765,0.0
BRK_L16_V0.75_H4_S2_T3,False,-1000000000.0,-24.099774013452883,0.6679369052888039,15471,0.0,-26.409700695703695,0.6154207868839497,7775,0.0
BRK_L16_V0.75_H8_S1.5_T0,False,-1000000000.0,-26.188192983830003,0.6944271479188114,11738,0.0,-23.69876968172885,0.7100498371664979,5800,0.03333333333333333
BRK_L16_V0.75_H8_S1.5_T3,False,-1000000000.0,-24.73361953999279,0.7124185635043336,11903,0.03333333333333333,-23.174156531762748,0.7172386630763744,5875,0.03333333333333333
BRK_L16_V0.75_H8_S2_T0,False,-1000000000.0,-26.81551880012889,0.7014186082789305,11523,0.0,-25.341236216021386,0.7094307290768085,5729,0.0
BRK_L16_V0.75_H8_S2_T3,False,-1000000000.0,-25.722877880929374,0.7144856134780605,11595,0.03333333333333333,-23.916987130210643,0.7270841473591864,5757,0.03333333333333333
BRK_L16_V0.75_H16_S1.5_T0,False,-1000000000.0,-19.231217869153998,0.7959732161722503,6325,0.045454545454545456,-28.27312991104754,0.6920068152832602,2980,0.09090909090909091
BRK_L16_V0.75_H16_S1.5_T3,False,-1000000000.0,-23.082542920392807,0.7579141123323772,6527,0.045454545454545456,-23.81403273159388,0.740400246004695,3041,0.045454545454545456
BRK_L16_V0.75_H16_S2_T0,False,-1000000000.0,-20.911885021903768,0.7981911690084735,6157,0.045454545454545456,-28.901062475839957,0.708916218286705,2920,0.0
BRK_L16_V0.75_H16_S2_T3,False,-1000000000.0,-23.39313073493388,0.776644956060249,6265,0.09090909090909091,-24.238695426385195,0.757711716494588,2946,0.09090909090909091
BRK_L32_V0_H4_S1.5_T0,False,-1000000000.0,-21.60629726478627,0.6704265395712287,15759,0.0,-24.015608813034316,0.6164963973285025,8456,0.0
BRK_L32_V0_H4_S1.5_T3,False,-1000000000.0,-20.179537265159155,0.6928325048017375,15843,0.0,-23.18936574136345,0.6289824575524463,8488,0.0
BRK_L32_V0_H4_S2_T0,False,-1000000000.0,-21.429398953456424,0.6799457246621049,15616,0.0,-25.512317450216184,0.603501541709245,8393,0.0
BRK_L32_V0_H4_S2_T3,False,-1000000000.0,-20.71486886463882,0.6911353841805925,15645,0.0,-25.125971111117025,0.6095276198050047,8401,0.0
BRK_L32_V0_H8_S1.5_T0,False,-1000000000.0,-23.81249393118447,0.7004083562165383,11817,0.0,-24.95954577578645,0.6773412784421756,6225,0.03333333333333333
BRK_L32_V0_H8_S1.5_T3,False,-1000000000.0,-20.72684648512362,0.739963508897693,11978,0.0,-23.278900357731107,0.6988936945132742,6301,0.0
BRK_L32_V0_H8_S2_T0,False,-1000000000.0,-24.324321281165346,0.7083167273060573,11595,0.0,-26.042667691476456,0.6823653981255879,6135,0.03333333333333333
BRK_L32_V0_H8_S2_T3,False,-1000000000.0,-21.901633771888815,0.7377011948044435,11666,0.0,-24.04804743880714,0.7073859940820186,6164,0.03333333333333333
BRK_L32_V0_H16_S1.5_T0,False,-1000000000.0,-17.918932645053662,0.7952271023077762,6366,0.18181818181818182,-28.77545417097173,0.6715359838789213,3269,0.0
BRK_L32_V0_H16_S1.5_T3,False,-1000000000.0,-20.365098860616435,0.7698548731892455,6551,0.09090909090909091,-24.215210923763042,0.7227239657459912,3332,0.0
BRK_L32_V0_H16_S2_T0,False,-1000000000.0,-17.40371150822454,0.8167330252347047,6176,0.13636363636363635,-30.065123394117524,0.6845111398113268,3188,0.0
BRK_L32_V0_H16_S2_T3,False,-1000000000.0,-18.468618350810825,0.8079048992337594,6284,0.045454545454545456,-25.365702750848865,0.7353598848865383,3220,0.045454545454545456
BRK_L32_V0.75_H4_S1.5_T0,False,-1000000000.0,-22.49216773226911,0.6840933264813979,11919,0.0,-25.861879043866935,0.6223475588572457,6208,0.0
BRK_L32_V0.75_H4_S1.5_T3,False,-1000000000.0,-20.568710883908892,0.7113560187998941,11982,0.0,-25.03643229105393,0.6339961949415441,6238,0.0
BRK_L32_V0.75_H4_S2_T0,False,-1000000000.0,-22.164829649600936,0.696412838354447,11802,0.0,-27.695908896221127,0.6071642715236969,6161,0.0
BRK_L32_V0.75_H4_S2_T3,False,-1000000000.0,-21.209647837452085,0.7099397227625611,11823,0.0,-27.23791062195452,0.6138478081622167,6170,0.0
BRK_L32_V0.75_H8_S1.5_T0,False,-1000000000.0,-25.072199800281723,0.7084346436204659,9029,0.03333333333333333,-27.437419571057884,0.6749811803849208,4613,0.03333333333333333
BRK_L32_V0.75_H8_S1.5_T3,False,-1000000000.0,-21.533976541668245,0.7498593889558195,9155,0.03333333333333333,-26.42784182933576,0.6875405861310966,4683,0.03333333333333333
BRK_L32_V0.75_H8_S2_T0,False,-1000000000.0,-25.72998723779072,0.716140318821604,8860,0.0,-28.338202578462504,0.6835669716731141,4553,0.03333333333333333
BRK_L32_V0.75_H8_S2_T3,False,-1000000000.0,-22.65276381149991,0.7500455521351694,8915,0.03333333333333333,-26.404681206349107,0.7068221837671113,4582,0.03333333333333333
BRK_L32_V0.75_H16_S1.5_T0,False,-1000000000.0,-16.380114822953665,0.8251396599103448,4896,0.2727272727272727,-30.270567811564014,0.6806368219335813,2433,0.09090909090909091
BRK_L32_V0.75_H16_S1.5_T3,False,-1000000000.0,-19.260019571153126,0.7962682211299669,5049,0.18181818181818182,-25.96855171518894,0.7259167650083156,2486,0.09090909090909091
BRK_L32_V0.75_H16_S2_T0,False,-1000000000.0,-16.645752990864434,0.8378201651989771,4765,0.18181818181818182,-30.62748074651507,0.7029244113646216,2381,0.09090909090909091
BRK_L32_V0.75_H16_S2_T3,False,-1000000000.0,-17.623023670041732,0.8296724493953765,4849,0.18181818181818182,-25.15930154761257,0.7580301296737019,2407,0.13636363636363635
BRK_L64_V0_H4_S1.5_T0,False,-1000000000.0,-24.30132976809278,0.6520556711825221,11056,0.0,-25.63142744861367,0.6095280823655836,6172,0.0
BRK_L64_V0_H4_S1.5_T3,False,-1000000000.0,-22.591960366677025,0.6772011752633766,11122,0.0,-24.791742821300954,0.6212214461500832,6196,0.0
BRK_L64_V0_H4_S2_T0,False,-1000000000.0,-24.797166240674404,0.6537920513783066,10956,0.0,-27.18542755437005,0.5955975784267639,6117,0.0
BRK_L64_V0_H4_S2_T3,False,-1000000000.0,-22.990421665143145,0.6789208747392295,10973,0.0,-26.721563592161047,0.6025184563817665,6123,0.0
BRK_L64_V0_H8_S1.5_T0,False,-1000000000.0,-26.565663713758816,0.6825120841536075,8384,0.03333333333333333,-26.416386899667266,0.6738078830778772,4554,0.06666666666666667
BRK_L64_V0_H8_S1.5_T3,False,-1000000000.0,-22.495197291456147,0.7316648019694028,8507,0.03333333333333333,-25.171484233148266,0.6889000060204085,4622,0.03333333333333333
